,Unnamed: 0,Unnamed: 0.1,Audioguida,Circoscrizione,Comune,Descrizione,Descrizione breve,Email,Evento della vita,Fonte,Galleria immagini,Immagine,Impianto gestito da,Indirizzo,Indirizzo web,Informazioni,Leggi le informazioni dettagliate,Nominativo contatto,Riferimento,Scheda,Tags,Telefono,Tipologia di luogo,Titolo,Video,address,lat,lon,modified,published,remoteId,Province,Street,Number,CAP,Type,Tipologia di luogo en
11,13,3,,,Roncone,,"È raggiungibile percorrendo in auto, previa autorizzazione, una strada forestale che si inerpica sulla montagna occidentale del paese, verso il gruppo dell'Adamello, per capirci. Anche da qui si può partire per escursioni di notevole interesse naturalistico.",,,,,,,,,,,,,,,,Malga,Malga Giuggia,,Roncone,45.984953999999995,10.670564,2016-05-23T08:18:45+02:00,2014-06-25T15:18:21+02:00,d5848556ab80a9571ef649f9dd87ebe1,TN,,,,PointOfInterest,Malga
12,14,4,,,Roncone,,"Come si diceva, è l'unica monticata da malgari, perciò permette ancora di assistere all'arte antica della lavorazione artigianale del latte. Fu la prima malga del Trentino ad essere collegata al paese con un lattedotto, lungo 5.700 metri, nel 1958. La si può raggiungere percorrendo la strada forestale che attraversa la Val di Bondone, in macchina, se si è in possesso di autorizzazione. Altrimenti si può andare a piedi: è una camminata abbastanza lunga, ma che ripaga altamente dello sforzo compiuto.",,,,,,,,,,,,,,,,Malga,Malga Avalina,,Roncone,45.984953999999995,10.670564,2016-05-23T08:16:34+02:00,2014-06-25T15:19:47+02:00,6f3afec66161098b7eaf2d8ec6071786,TN,,,,PointOfInterest,Malga
13,18,8,,,Roncone,,,,,,,,,Loc. Pozza - 38087  Roncone (TN),http://www.ristorantemiramonti.it/Dove%20Siamo.html|www.ristorantemiramonti.it,,,,,,,,Punto di interesse,Albergo Miramonti,,Loc. Pozza - 38087  Roncone (TN),45.984953999999995,10.670564,2015-05-28T16:20:22+02:00,2015-05-28T16:20:22+02:00,f3f59bf6b4c149ba5f54fce1f3be960d,TN,loc. pozza,,38087,PointOfInterest,Point of interest
14,19,9,,,Roncone,,,,,,,,,Località La Rocca - 38087 Roncone (TN),http://www.albergolarocca.it/lang/IT/pagine/dettaglio/1/1.html|www.albergolarocca.it,,,,,,,,Punto di interesse,Albergo la Rocca,,Località La Rocca - 38087 Roncone (TN),46.013026,10.702274000000001,2015-05-28T16:21:28+02:00,2015-05-28T16:21:28+02:00,edae909754debd0f251082382b9d207a,TN,località la rocca,,38087,PointOfInterest,Point of interest
15,20,10,,,Roncone,,,,,,,,,"Via Nazionale, 2 - Roncone (TN)",,,,,,,,,Punto di interesse,Hotel Eden,,"Via Nazionale, 2 - Roncone (TN)",45.984137,10.671794,2015-05-28T16:23:22+02:00,2015-05-28T16:23:22+02:00,964b89f26263d0975c276202764a8334,TN,via nazionale,2,,PointOfInterest,Point of interest
16,21,11,,,Roncone,,,,,,,,,"Via P.G. Oliana, 23 38087 Roncone",,,,,,,,,Punto di interesse,Garnì Centrale,,"Via P.G. Oliana, 23 38087 Roncone",45.984953999999995,10.670564,2015-05-28T16:24:16+02:00,2015-05-28T16:24:16+02:00,1ceaa23896d89a9691f1e201dff448af,TN,via p.g. oliana,23,38087,PointOfInterest,Point of interest
17,22,12,,,Roncone,,,,,,,,,Loc. Polina 38087 Roncone,,,,,,,,,Punto di interesse,Affittacamere Miravalle,,Loc. Polina 38087 Roncone,45.984953999999995,10.670564,2015-05-28T16:25:25+02:00,2015-05-28T16:25:25+02:00,c140c62ee06ff9eacd7366b241d9a98c,TN,loc. polina,,38087,PointOfInterest,Point of interest
18,23,13,,,Roncone,,"Nella parte alta del paese si distingue la chiesa parrocchiale di Santo Stefano, in stile barocco; al suo interno l’organo e la cantoria, con pregevole parapetto in legno, sono opera seicentesca dell’intagliatore locale Giovan Battista Polana.",,,,,,,,,,,,,,,,Chiesa,Chiesa di Santo Stefano,,Roncone,45.984953999999995,10.670564,2016-05-20T10:16:50+02:00,2015-05-28T14:50:17+02:00,1e7c098e637bccfdd20eca9991ad9f2b,TN,,,,PointOfInterest,Church
20,25,15,,,Roncone,,,,,,,,,"Via Nazionale, 10 38087 Roncone",,,,,,,,,Punto di interesse,Hotel Roncone,,"Via Nazionale, 10 38087 Roncone",45.983897,10.671524,2015-05-28T16:14:42+02:00,2015-05-28T16:14:42+02:00,7c22520078c5e8f366d4e72e0ddc0867,TN,via nazionale,10,38087,PointOfInterest,Point of interest
21,26,16,,,Roncone,,,,,,,,,"via Benedetto Lucchi, 6  38087 Roncone (TN)",http://www.albergogenzianella.net/|www.albergogenzianella.net,,,,,,,,Punto di interesse,Albergo Genzianella,,via Benedetto Lucchi  N°6  38087 Roncone (TN),45.984953999999995,10.670564,2015-05-28T16:17:20+02:00,2015-05-28T16:17:20+02:00,c53d6d215e6ee62ba55baba13897299a,TN,via benedetto lucchi n°6,,38087,PointOfInterest,Point of interest
22,27,17,,,Roncone,,,,,,,,,"Via Nazionale, 14 - 38087 Roncone (Tn)",,,,,,,,,Punto di interesse,Albergo Ginevra,,"Via Nazionale, 14 - 38087 Roncone (Tn)",45.978320000000004,10.66686,2015-05-28T16:18:47+02:00,2015-05-28T16:18:47+02:00,21bf8c5f28011008b185e25e82e05ff2,TN,via nazionale,14,38087,PointOfInterest,Point of interest
29,34,6,,,Panchià,,"La struttura è di proprietà comunale e l'utilizzo viene concesso previo assenso dell'Istituto Comprensivo Predazzo, Tesero, Panchià, Ziano.Per richiesta di informazioni e prenotazione cliccare al seguente link.",,,,,,,,,,,,,,,,Scuola elementare,Palestra Scuola Elementare,,,46.286145,11.541264,2015-03-03T10:33:57+01:00,2015-03-03T10:33:57+01:00,e11390c75852bcc9c135d67df3caf309,TN,,,,PointOfInterest,Elementary school
35,56,21,,,Nago Torbole,"Le principali palestre, nel nostro comune, si trovano a Corno di Bò, noto anche per la ""Spiaggia delle lucertole"", 2 km a sud di Torbole, lungo la strada per Malcesine, è il luogo più frequentato dagli appassionati dell'arrampicata libera. Presenta una parete a strapiombo sul lago e uno scivolo di circa 200 m., con vie medio-facili di lunghezza varia, ottimamente chiodate (anelli resinati). 
Altre palestre di roccia si possono trovare al Passo San Giovanni (strada per Mori), alle Traole di Nago (strada per Monte Baldo), Monte Corno a Nago (strada per Arco) ed alle Marmitte dei Giganti (tra Nago e Torbole).Oltre alla soddisfazione dell'arrampicata il climber può anche godere di straordinari panorami che, nel corso della salita, si fanno sempre più ampi e suggestivi.","Sport recente che ha trovato, nel nostro ambito, ottime possibilità di esercizio. La conformazione stessa del territorio, montuoso e accidentato, levigato in molti punti dalla azione possente dei ghiacciai, mette a disposizione di chi ama l'arrampicata numerose pareti verticali che presentano difficoltà che vanno dal 4° all'8° grado superiore.",,,,,/var/nagotorbole/storage/images/territorio/eventi-e-manifestazioni2/quali-sport-puoi-praticare/free-climbing/12768-1-ita-IT/Free-Climbing.jpg,,,,,,,,,,,Punto di interesse,Free Climbing,,"torbole, corno di bò",45.870781,10.876128,2014-08-23T22:03:03+02:00,2014-05-08T12:47:44+02:00,9dbaedb9375d220b93c6d16619d5b1b3,TN,,,,PointOfInterest,Point of interest
37,58,23,,,Nago Torbole,"Lungo la spiaggia si trova il Parco Pavese, ricco di piante ombrose, il porticciolo chiamato un tempo ""dei pescatori"", (ma ora usato per imbarcazioni da diporto), bar, servizi e il grande prato di Villa Cian con campo di pallavolo, al quale si può accedere anche con l'automobile da Via Sarca Vecchio (possibilità di parcheggio).Nei mesi estivi la spiaggia è molto affollata, anche di surfisti, che però hanno a loro disposizione un'area, segnata, per le partenze e gli approdi con le tavole a vela. La stagione della balneazione a Torbole va da giugno a settembre.","La spiaggia, bella, ampia e ben dotata di servizi, si stende tra la Sega e la Foce del Sarca. Realizzata con materiali di riporto, ha sostituito i vecchi stabilimenti balneari con le cabine di legno su palafitte e l'immancabile trampolino.",,,,,/var/nagotorbole/storage/images/territorio/conoscere-nago-torbole/cosa-puoi-visitare/la-spiaggia/13642-2-ita-IT/La-Spiaggia.jpg,,,,,,,,,,,Punto di interesse,La Spiaggia,,,45.869966999999995,10.872707,2014-08-23T21:35:48+02:00,2014-05-08T14:32:11+02:00,b4615e85d9558b6096376b3cf8916253,TN,,,,PointOfInterest,Point of interest
39,63,1,,,Condino,"La comunità condinese si impegnò nella ricostruzione per amore dei suoi frati. Oggi, a causa principalmente della crisi delle vocazioni, l’edificio giace silenzioso ed inoperoso. Ma girando per le sale ed i corridoi, si può respirare ancora l’atmosfera del tempo in cui quel fraticello passava le giornate decifrando pergamene impolverate per tramandare ai posteri la storia della valle.Telefono 0465 621033","Domina il paese e la sua origine si perde nella notte dei tempi. È il Convento dei Cappuccini, abitato per secoli dai frati. Sul finire del Settecento fra i Cappuccini presenti c’era Cipriano Gnesotti, originario di Storo e padre della ricerca storica giudicariese, che oggi ha trovato molti seguaci. Nel 1945, quando in tutta Europa infuriava il secondo conflitto mondiale, un mattino echeggiò per tutta la valle un boato terribile; era un aereo americano che era caduto rovinosamente proprio sul Convento.",,,,,/var/condino/storage/images/territorio/luoghi-e-punti-di-interesse/cosa-puoi-visitare/il-convento/14029-1-ita-IT/Il-convento.jpg,,,,,,,,,,,Luogo religioso,Il convento,,condino,45.889459,10.59977,2014-06-25T09:31:10+02:00,2014-06-23T15:28:46+02:00,e6519c96bdbaee39e6bda467b3038844,TN,,,,PointOfInterest,Religious place
40,64,2,,,Condino,"Ma il grande lavoro di rifacimento fu posteriore di pochi anni: fra il 1495 ed il 1509. In quel tempo, Alberto Comanedi, con una sua squadra  di operai, la ristrutturò complessivamente, dandole la sembianza di oggi.Da allora hanno operato per abbellirla ben trentadue artisti. All’interno troviamo gli alteri delle Confraternite, affreschi e pale di pregio, arredi ed argenteria.Non c’è tutto quel che dovrebbe esserci: l’argenteria, per esempio, è stata venduta in larga parte all’inizio dell’Ottocento per far fronte alle spese dovute all’invasione napoleonica. La Pieve è un gioiello di arte sacra del quale i Condinesi vanno giustamente molto orgogliosi.Nell'ultimo restauro generale , conclusosi per altro da pochissimo tempo; è tornato alla luce un nuovo e importante affresco,  nascosto alla visione  fino ad ora,  da una mano di  intonaco dovuto con molta probabilità a lavori di conservazione poco attenti all'arte o frettolosamente fatti  in un passato lontano da noi e con ridotta disponibilità economica.","A nord del paese, fuori dal centro abitato sulla vecchia strada che conduceva verso Trento, sorge la Pieve, un vero monumento ricco di storia d’arte. Il primo documento che ne tratta risale al 1192; da un altro documento sappiamo che nel 1289 la copertura in scandole abbisognava di restauro; esattamente un secolo dopo, nel 1389, il tetto fu distrutto da un incendio; ancora cent’anni dopo (era il 1489) furono fatti lavori urgenti al portico, mentre due anni dopo si mise mano al campanile.",,,,,/var/condino/storage/images/territorio/luoghi-e-punti-di-interesse/cosa-puoi-visitare2/la-pieve/14038-1-ita-IT/La-Pieve.jpg,,,,,,,,,,,Chiesa,La Pieve,,condino ,45.889459,10.59977,2014-06-23T15:31:52+02:00,2014-06-23T15:31:29+02:00,2138c94cdd08949e0556839e06ca6a96,TN,,,,PointOfInterest,Church
41,65,3,,,Condino,,"Ad est del paese, abbarbicato su di un piccolo pianoro a mezza montagna; la piccola chiesetta di San Lorenzo, domina  benigna in contraltare alla Pieve, sulla comunità di Condino.",,,,,/var/condino/storage/images/territorio/luoghi-e-punti-di-interesse/cosa-puoi-visitare2/san-lorenzo/14047-1-ita-IT/San-Lorenzo.jpg,,,,,,,,,,,Chiesa,San Lorenzo,,condino,45.889459,10.59977,2014-06-23T15:33:24+02:00,2014-06-23T15:33:24+02:00,2b6a18b325510f4475175011f6573227,TN,,,,PointOfInterest,Church
44,69,0,,,Bolbeno,,,,,,,,,,,,,,,,,,Chiesa,,,,46.021644,10.727891,2014-11-05T15:36:57+01:00,2014-11-05T15:36:57+01:00,cf219a8336ee96acec75195d61d486d7,TN,,,,PointOfInterest,Church
45,70,0,,,Valdaone,"La parrocchiale di S. Bartolomeo è assai antica (è ricordata a partire dal 1008). Nel XIV secolo il suo portico era sede delle assemblee comunitarie. L'attuale edificio è di elegante fattura secentesca e nel luminoso interno si trovano la pala della Madonna con Bambino e i Santi Lorenzo, Francesco e Carlo Borromeo opera di Palma il Giovane. Di un buon autore secentesco è la pala della Madonna con Bambino e le Sante Domenica e Caterina. La pala della S. Famiglia è di Diodato Massimo. I due altari lignei del XVII sec. sono da attribuirsi a scuola locale, mentre di provenienza bresciana è invece l'elegante cassone settecentesco dell'organo, che accoglie uno strumento costruito da A. Aletti nel 1928. ",,,,,,/var/newdaone/storage/images/il-territorio-di-valdaone/passeggiate-e-trekking/chiesa-di-san-bartolomeo/20028-2-ita-IT/Chiesa-di-San-Bartolomeo.jpg,,,,,,,,,,,Chiesa,Chiesa di San Bartolomeo ,,,45.946519,10.620186,2016-07-19T13:07:07+02:00,2014-12-16T13:02:07+01:00,112521c429390696ce366e0bbcbce564,TN,,,,PointOfInterest,Church
46,71,1,,,Valdaone,,"Nel piccolo abitato di Daone si trova il “Parco alla Bóra”, un giardino pubblico dedicato ad uno dei più monumentali e importanti alberi della Valle di Daone, un secolare abete bianco proveniente dalla spianata di Malga Boazzo, oggi coperta dalle acque del bacino idroelettrico.Nato circa 750 anni prima del taglio, l’imponente albero dalla lussureggiante chioma e dalle maestose proporzioni è vissuto nei prati di Boazzo fino al 1955, concedendo la propria ombra ristoratrice ai viaggiatori, un riparo agli animali del bosco e un sicuro rifugio a pastori e boscaioli.Quando nel 1952 la spianata di Malga Boazzo fu destinata a diventare un lago artificiale, gli abitanti di Daone decisero di conservare la “Bóra de Boaz”, simbolo di un’epoca che stava per scomparire. Nessuno aveva intenzione di lasciare che le acque del fiume Chiese, imbrigliate dalla nuova diga, ricoprissero quell’albero che aveva attraversato secoli di storia della Valle di Daone, che aveva assistito al susseguirsi di centinaia di stagioni e che, pur senza poter parlare, conservava e aveva la forza di testimoniare aspetti importanti del passato dell’intera vallata.Proprio per questo, tre anni più tardi, nel 1955, su incarico del Comune, un gruppo di boscaioli guidati dall’allora assessore alle foreste Fioravante Pellizzari e dal fratello Giovanni, tagliarono l’enorme abete bianco che fu trasportato poi a Daone scortato da tanta gente, in una sorta di processione.
Per alcuni anni il tronco rimase a fare bella mostra di sé nei pressi della Crosetta, la piccola chiesetta nel centro del paese, vicino alla parrocchiale.
Nel 1961 venne richiesto dall’Esposizione Internazionale di Torino, denominata “Italia 61” e organizzata per celebrare il primo centenario dell’Unità d’Italia. Il magnifico esemplare di abete doveva raccontare la storia delle vallate alpine e affascinare i visitatori con le sue dimensioni.Ancora oggi chi guarda quel tronco può ripensare ai cambiamenti avvenuti nella Valle di Daone. I numeri della Bóra


età all’epoca del taglio: circa 700 anni

altezza del tronco originario: 18 m.

altezza del tronco esposto: 3,60 m.

diametro medio del tronco esposto: 2,50 m.

cubatura (considerandolo pieno): 17,70 mc. circa


",,,,,/var/newdaone/storage/images/il-territorio-di-valdaone/musei-e-cultura/avez-de-boaz/20041-3-ita-IT/Avez-de-Boaz.jpg,,,,,,,,,,,Punto di interesse,Avèz de Boaz,,,45.946521000000004,10.617964,2017-03-05T12:14:01+01:00,2014-12-16T13:02:41+01:00,9c255f56e1bd29fecc25ed6469e35a2f,TN,,,,PointOfInterest,Point of interest
51,85,15,,,Valdaone,"A 7Km dal centro abitato di Daone, nella verde spianata di Limes (metri 929), sorge la bianca chiesetta della Madonna della Neve, ricostruita nel '59 su antica struttura già esistente, a memoria dei caduti dei grandi lavori idroelettrici. Località collocata tra il verde di Vermongoi e Pracul, è meta per piacevoli pic-nic e punto di partenza per escursioni verso Malga Nova (metri 1532), Lago Casinei (metri 2059) e Lago Nero (metri 2150).",,,,,,/var/newdaone/storage/images/il-territorio-di-valdaone/vacanza-attiva/madonna-della-neve/20272-3-ita-IT/Madonna-della-Neve.jpg,,,,,,,,,Chiesetta di Limes,,Chiesa,Madonna della Neve ,,"Chiesa della Madonna della Neve, SP27, Valdaone, Comunità delle Giudicarie, TN, Trentino-Alto Adige, Italia",45.97671500000001,10.54768,2018-03-13T20:45:21+01:00,2014-12-16T15:51:04+01:00,2d627467b7fb4d01989483fd86a12547,TN,,,,PointOfInterest,Church
52,86,16,,,Valdaone,"Nella cava poco sopra il piazzale di Malga Bissino (1788 metri) è stata costruita da parte della Pro Loco di Daone, la tipica chiesetta della Madonna della Pace a base ottagonale e proiezione a piramide sezionata sul davanti, in memoria di tutti i caduti, civili e di guerra, della montagna; luogo per un momento di raccoglimento, vi si può sostare e ammirare la maestosità delle vette vicine.",,,,,,/var/newdaone/storage/images/il-territorio-di-valdaone/vacanza-attiva/madonna-della-pace/20285-1-ita-IT/Madonna-della-Pace.png,,,,,,,,,,,Chiesa,Madonna della Pace,,"SP27, Valdaone, Comunità delle Giudicarie, TN, Trentino-Alto Adige, Italia",46.051225,10.511609,2018-03-13T20:29:30+01:00,2014-12-16T15:52:51+01:00,a76c1602432487d47d958c454913a568,TN,,,,PointOfInterest,Church
54,96,26,,,Valdaone,,"Malga Valbona di Sopra si trova a circa 1734 metri di altitudine ed è possibile raggiungerla tramite la strada forestale che si dirama dalla Strada Provinciale 27 subito dopo l'abitato di Praso (direzione Daone) nel Comune di Valdaone. Per il transito sulla strada forestale è necessario un permesso di transito su strade forestali, le cui modalità di rilascio possono essere chieste agli uffici comunali.E' attualmente affittata per le stagioni d'alpeggio 2014-2015-2016.",,,,,,,,,,,,,,,,Punto di interesse,Malga Valbona di Sopra,,,45.997217,10.569792,2017-04-02T18:44:32+02:00,2015-09-11T08:45:27+02:00,79b62914a1cd194a1818e14c3a91309f,TN,,,,PointOfInterest,Point of interest
55,97,27,,,Valdaone,,"Malga Lavanech si trova a 1783 metri di altitudine, nelle vicinanze della Cima Lavanech. È raggiungibile tramite la strada forestale che parte da località Lert in Val di Daone. Per il transito sulla strada forestale è necessario un permesso di transito su strade forestali, le cui modalità di rilascio possono essere chieste agli uffici comunali.E' attualmente affittata per le stagioni d'alpeggio 2014-2015-2016, con i relativi pascoli circostanti e con i pascoli della malga Campo.",,,,,/var/newdaone/storage/images/il-territorio-di-valdaone/malghe/malga-lavanech-e-pascolo-malga-campo/24796-10-ita-IT/Malga-Lavanech-e-pascolo-malga-Campo.jpg,,,,,,,,,,,Punto di interesse,Malga Lavanech e pascolo malga Campo,,,45.96033900000001,10.528336,2017-04-02T19:32:35+02:00,2015-04-17T11:13:23+02:00,b9887ef5a48bb248c3d3e338b62e6b90,TN,,,,PointOfInterest,Point of interest
56,108,0,,,Grumes,,La chiesa parrocchiale di S. Lucia risale al XV secolo. L'attuale edificio è però il risultato delle posteriori ricostruzioni del XVIII e XIX secolo.,,,,,/var/grumes/storage/images/territorio/luoghi-e-punti-di-interesse/cosa-puoi-visitare2/chiesa-parrocchiale-di-grumes/13056-1-ita-IT/Chiesa-parrocchiale-di-Grumes.jpg,,,,,,,,,,,Chiesa,Chiesa parrocchiale di Grumes,,Grumes,46.220835,11.295985,2014-10-22T10:30:26+02:00,2014-10-22T10:30:26+02:00,763ee3eb3ca4b9a9eaebf9ec4d311233,TN,,,,PointOfInterest,Church
